,Labels by Airbnb,neighbourhood,neighbourhood_group,Latitude,Longitude,Avg Price,Airbnb number,Std Price,Lowest Price,Highest Price,Median Price,Total Reviews,Median Reviews,Most Review,Least Review,Avg Reviews
195,0,Tottenville,Staten Island,40.5083408,-74.23554039999999,144.86,7,98.31,70,299,100.0,139,1.0,59,0,20.0
196,0,Tremont,Bronx,40.8477113,-73.90096729999999,51.55,11,34.47,25,150,41.0,227,17.0,49,0,21.0
197,0,Tribeca,Manhattan,40.7162692,-74.0086323,490.64,177,856.34,60,8500,295.0,2034,2.0,447,0,11.0
198,0,Two Bridges,Manhattan,40.7107469,-73.99696,127.07,72,60.5,35,320,109.5,2129,9.0,223,0,30.0
199,0,Unionport,Bronx,40.83034079999999,-73.8506737,137.14,7,138.68,60,450,90.0,104,1.0,68,0,15.0
200,0,University Heights,Bronx,40.8574661,-73.90965,69.57,21,39.16,37,175,55.0,779,12.0,135,0,37.0
201,2,Upper East Side,Manhattan,40.7735649,-73.9565551,188.95,1798,286.71,10,7703,149.0,31686,4.0,389,0,18.0
202,2,Upper West Side,Manhattan,40.7870106,-73.9753676,210.92,1970,395.2,10,10000,150.0,36058,4.0,401,0,18.0
203,0,Van Nest,Bronx,40.8415796,-73.8706949,113.82,11,133.28,20,425,50.0,206,3.0,98,0,19.0
204,0,Vinegar Hill,Brooklyn,40.70371859999999,-73.98226830000002,187.18,34,104.26,46,550,175.0,545,2.0,163,0,16.0
205,0,Wakefield,Bronx,40.89655,-73.8507279,85.58,50,71.55,28,309,60.0,1279,11.0,199,0,26.0
206,3,Washington Heights,Manhattan,40.8417082,-73.9393554,89.61,898,69.13,16,1000,72.0,17161,5.0,307,0,19.0
207,0,West Brighton,Staten Island,40.6270298,-74.10931409999999,80.56,18,47.69,37,200,69.5,656,27.0,196,0,36.0
208,0,West Farms,Bronx,40.8430609,-73.8816001,122.0,2,60.81,79,165,122.0,7,3.5,4,3,4.0
209,3,West Village,Manhattan,40.73468,-74.0047554,267.68,768,275.84,50,4000,200.0,14885,5.0,272,0,19.0
210,0,Westchester Square,Bronx,40.839815,-73.8464802,122.2,10,193.03,28,670,67.5,155,5.5,67,0,16.0
